English,ISL-Gloss
I can't remember how to go there., i there remember go there how no
"You're not tired, are you?", you tire you no
Snow fell early this winter., snow early this winter fell early
We bought a house., we house buy
I'm going to go out this afternoon., i this afternoon go go out
Tom has been acting weird today., tom weird weird today act
I hate this song., i this song hate
Women usually live longer than men., women usually long than men live long
Lie down on your left side., your left your left side lie down
No weapons were found., no weapon no find
My wife stayed at home., my wife home stay at
What's this supposed to mean?, this suppose mean what
What's the title of the book?, title of book what
He had his hair cut., he his his hair cut have cut
We broke up on Valentine's Day., we valentine 's valentine day break up
Tom tried to end his own life., tom his own his own life try end
Are you sure you have to leave?, you sure you have have leave
I am an artist., i artist
Tom is likeable., tom likeable
It appears that he is a musician., it he musician appear
Tom thought that you were drunk., tom you drunk think
A baby has delicate skin., baby delicate delicate skin have
I've tried to contact Tom., i tom try contact
I feel sorry for you., i sorry for you feel
Nobody does that., nobody that do
My father would often go fishing., my father often go fish
Bring the water to a boil., water to boil bring
Everyone should go., everyone go
You're very beautiful., you very beautiful very
The planes arrived one after another., plane one after another arrive
I'll go first., i first go first
The rooms are all clean., room clean all
I have just a few more questions., i few more just few more question have just
We can't get close to the enemy., we close to enemy get no
You're part of our team., you our part of our team
I wasn't interested in the job., i interested in job no
Tom's birthday was the day before yesterday., tom 's birthday day before yesterday
Keep to the right., right keep to
He was absent because of illness., he absent illness
"It's possible, isn't it?", it possible it no
She came to like the house., she house come like
Please pay attention., attention pay
I can't stand it anymore., i it anymore stand no
Why didn't you call for help?, you help call for why no
I want a low table., i low low table want
What would you do in my place?, you my my place do in what
Where is today's paper?, today 's paper where
She died yesterday afternoon., she yesterday afternoon die
I don't trust many people., i many many people trust no
We don't have a daughter., we daughter have no
Why do you hate me?, you me hate why
Where was your father?, your father where
I thought you'd gone and left me., i you me think go leave
I have a twin., i twin have
Tom was a great guy., tom great great guy
I don't like cold coffee., i cold cold coffee like no
You never cease to impress me., you me cease impress no
How did he find us?, he us find how
She is my classmate., she my my classmate
Let's buy this one., 's this one let buy
Don't turn around., around turn around no
That remains a big problem., that big big problem remain
He did the best he could., he best he best could do
He is absent because of illness., he absent illness
I think we'd better do that., i we better that think do
Is there anyone here?, there anyone here
Now I'm done for., i now do for
How can you be so cynical?, you so cynical so how
He made a bad decision., he bad bad decision make
All our members are volunteers., all our member volunteer
Clean it up., it clean
They're learning French., they french learn
Please shut the door., door shut
Do you have to work today?, you today have work
Fry an egg for me., me
She was satisfied with the new dress., she satisfy with new new dress
Can I have something to drink?, i something drink have drink
Can I ask you a question?, i you question ask
What a mess!, what
They all burst out laughing., they all burst out laugh
What was he doing there?, he there do there what
You don't sound so sure., you so sure so sound so no
I've already explained that., i already that explain
That's no exaggeration., that no exaggeration
Allow me to accompany you., me you allow accompany
He looks like a monkey., he monkey look like
What are they waiting for?, they wait for what
I don't like your taste in color., i your your taste in color like no
Why do you need a doctor?, you doctor need why
He's saving up to go to college., he college save up go to
I won't do that., i that do no
I have a package for you., i package for you have
There is no going back., there no go back go back
He likes taking walks., he walk like take
This problem is difficult to solve., this problem difficult solve this solve
I walked across the park., i park walk across
I'm sure I'll regret this., i sure i regret this regret
How long have we got?, we long get how
I'd better get back to work now., i better back to work now get back
"At this hour, there is incredible traffic.", there incredible this hour incredible traffic
We'll be there tomorrow afternoon., we there tomorrow afternoon
They can't hurt you., they you hurt no
I didn't know where else to go., i else know go where no
Tom didn't want to go any further., tom any far want go no
My uncle now lives in comfort., my uncle now comfort live in
I went for a long walk., i long long walk go for
"My husband earns $100,000 a year.","my husband $ 100,000 year earn"
He asked a very good question., he good very good question ask
They called them scalawags., they them scalawag call
I like cooking., i cook
I'll do it in the morning., i it morning do
I sometimes watch documentaries., i sometimes documentary watch
I was busy this week., i busy this week
That's very generous of you., that very generous of very you
We saved you a seat right here., we you seat right here save
Would you like a sandwich?, you sandwich like
I saw the car hit a man., i car man saw hit
I suppose that's true., i that true suppose
The shower is broken., shower broken
You deserve this., you this deserve
You shall have my answer tomorrow., you my my answer tomorrow have
You can't be sure of that., you sure of that no
Why do you ask?, you ask why
We can't keep this secret forever., we this secret forever keep no
Do you mean to go?, you mean go
Why would I kill your dog?, i your your dog kill why
Somebody's waiting for you., somebody you wait for
This bird can't fly., this bird this fly no
Chess and checkers are favorites with them., chess and checker favorite with them
I went to your school., i your your school go to
Maybe we can fix it., we maybe it fix
She wants to marry a millionaire., she millionaire want marry
I know some students in that school., i some student in that school know
I can't slow down., i slow down no
We shared the cost of the meal., we cost of meal share
Can you recommend a good play?, you good good play recommend
You're the one who trained me., you one train me train who
The company issued a press release., company press release issue
He helped me fix my watch., he me my my watch help fix
I didn't see you come in., i you in see come in no
Tom asked me to give you something., tom me you something ask give
Don't tell me you can't read., you me tell read no
It took them a while., it them while take
Make it smaller., it small make
You can count on that., you that count on
Have some pity on me., some pity on me have
I made him carry the briefcase., i him briefcase make carry
I guess that's why I love you., i that i you guess love why
I can't believe I did this., i i this believe do no
Tom is in therapy., tom therapy
Do you eat fish?, you fish eat
How come the sky is blue?, sky blue come how
Not everything can be explained., not everything explain
What are you mumbling?, you mumble what
It's hard to quit smoking., it hard smoke quit
How does Tom plan to help?, tom plan help how
I'm now busy writing a book., i busy write now book write
That's quite a problem., that quite problem
Gunshot residue was found on Tom's hands., gunshot residue tom 's tom hand find on
I'm hungry because I haven't had lunch., i hungry i lunch have no
He barely escaped death., he barely death escape
I have to paint it., i it have paint
She's going to have a baby., she baby go have
You have a good sense of humor., you good good sense of humor have
What makes you think that'll work?, you that make think work what
Earth is a beautiful planet., earth beautiful beautiful planet
He was too old to swim., he too old swim too swim
Don't make fun of other people., other fun other people make no
The doctor took my pulse., doctor my my pulse take
We haven't come to a decision yet., we decision yet come to no
I thought I was being smart., i i smart think
You are beautiful., you beautiful
The lavishness of the party amazed everybody., lavishness of party everybody amaze
Do you want to look at it?, you it want look at
She doesn't seem happy., she happy happy seem no
Tom is on campus., tom campus
We've got to get help., we help get get
The soup needs more salt., soup more more salt need
He hasn't written the letter yet., he letter yet write no
You should listen to me., you me listen to
That was unbelievable., that unbelievable
She is a chatterbox., she chatterbox
I'm done watering the flowers., i flower do water
I'll just get you started., i you just get start
That's why I called., that i call why
I don't have the faintest idea., i faint faint idea have no
I hear you have a girlfriend now., i you girlfriend now hear have
This isn't my problem., this my my problem no
Nobody knows everything., nobody everything know
I thought you'd be here., i you here think
Don't open it., it open no
We think that he will come., we he think come
We talked a lot about you yesterday., we lot you yesterday talk
Is Tom ill?, tom ill
When are you going on vacation?, you vacation go on when
I just want to be clear., i clear just want
We had a heated discussion about it., we heat heat discussion about it have
You're great at this., you great at this
Let's take a look., 's look let take
You have a good lawyer., you good good lawyer have
Tom always makes me laugh., tom me always make laugh
Are you sure you can handle this?, you sure you handle this handle
I know you're thinking about me., i you me know think about
It's just a rabbit., it just rabbit
He showed me his collection of stamps., he his me his collection of stamp show
The princess lay with her eyes closed., princess her her eye lay with close
We must escape., we escape
Don't drink anything., anything drink no
I'm dreading the exam., i exam dread
"Hey, let me tell you something.", me you something let tell
How many children are there?, many child there how
I know that Tom was disappointed., i tom know disappoint
Why don't you ever cook?, you ever cook why no
I don't like being interrogated., i like interrogate no
Are you dating anyone?, you anyone date
When do you plan to start?, you plan start when
Let's have another drink., 's another drink let have
I'm just trying to make a buck., i just buck try make
"This CD is mine, isn't it?", this cd it this mine no
I don't like Christmas anymore., i christmas anymore like no
I'm not wearing that stupid costume., i stupid that stupid costume wear no
He went out a few minutes ago., he few few minute ago go out
Tom finished his meal first., tom his his meal first finish
Tom is still alive., tom alive still
She tried to commit suicide., she suicide try commit
What are you looking for?, you look for what
I don't want you touching my stuff., i you my my stuff want touch no
I'd tell you the same thing., i same you same thing tell
You should fulfill your promises., you your your promise fulfill
Give me more money., more me more money give
Settle down for a while and concentrate., while settle down concentrate
It's very sticky., it very sticky very
When will your new novel come out?, your new novel come out when
That's the car I told you about., that i car tell you tell
Can you please look the other way?, you other other way look
I really want to believe you., i really you want believe
I appreciate the support., i support appreciate
I'm not ready to go yet., i ready go yet go yet no
Tom has three kids., tom three kid have
Tom is guilty., tom guilty
Tom needs to work., tom need work
I wouldn't go that far., i that far go that no
Her watch is ten minutes slow., her watch minute slow ten minute
Stocks hit a new high., stocks new new high hit
She likes to cook for her family., she her her family like cook for
Who are those guys?, those guy who
We'll all be together., we together
I'm so tired!, i so tired so
My children like school., my school
Let me tell you a story., me you story let tell
He is poor at chemistry., he poor chemistry
"We ordered pink, but we received blue.", we pink we blue pink blue order receive
It's all yours., it yours
How old is this zoo?, old this zoo this how
This box contains apples., this box this apple contain
I can't give it to you., i it to you give no
Tom said that Mary seldom does that., tom mary seldom that say do
They blocked it., they it block
When did you buy this cello?, you this cello buy when
They plan to have a party., they party plan have
I'm learning English., i english learn
You can handle this without me., you this me handle
Tom stepped forward., tom forward step forward
We need a hero., we hero need
This is why I quit the job., this i job quit why
What is it with you people?, it you people what
Tell me about your children., your me your child tell
Give me the ball., me ball give
"He said, ""It's nine o'clock.""", he it nine o'clock say
I'm afraid we have a problem., i afraid we have problem have
Look what I did., i what look do
I can do it by myself!, i it myself do
I appreciate what you did today., i you today appreciate do what
That's just the way it is., that it just way
We will only consent on that condition., we only that condition consent on
Have a safe trip., safe safe trip have
Could you please clear the table?, you table clear
I'm already on the train., i already train
Let go of my arm., my my arm go of
I told you I'm not hungry., i i hungry you tell no
The reporter criticized the politician., reporter politician criticize
When is Tom's birthday?, tom 's birthday when
It's almost unbreakable., it almost unbreakable almost
I know Tom is finished., i tom know finish
Didn't I mention that?, i that mention no
You can leave at any time., you any time leave at
"I am your friend, right?", i your right your friend
The poor girl went blind., poor girl blind go
I've never spoken to anyone in French., i anyone in french speak to no
I don't like dancing., i dance like dance no
Tom told me he was retired., tom he me tell retire
That's an interesting idea., that interest interest idea
They had a heated argument., they heat heat argument have
You and I are a lot alike., you and i lot alike
Are you all finished here?, you all here finish here
Tom said we'd find you here., tom we you here say find
Why not just knock on the door?, just door knock on why no
I did it., i it do
How do you stand this heat?, you this heat stand how
I'll see you there., i you there see
What's this doing here?, this here do here what
I don't work like that., i that work like no
I left my bag here., i my my bag here leave
The band played several marches., band several several march play
Tom's computer isn't responding., tom 's computer respond no
His eyes are blue., his eye blue
Do you realize what you just said?, you you just realize say what
English is not my mother tongue., english my my mother tongue no
Mother is in the kitchen., mother kitchen
Great minds think alike., great mind alike think alike
Thank you all very much., you all very much thank
Don't give up!, give up no
She was chosen from among many students., she many many student choose from
"Answer the phone, please.", phone answer
Let me get that for you., me that for you let get
I've learned from the best., i best best learn from
Now fix that., that fix
Are seats available?, seat available
French bread is delicious., french bread delicious
I found a way out., i way out find
I'll put some coffee on., i some coffee put
This is really humiliating., this really humiliate really
Stop the car now., car now stop
We watched the children play., we child watch play
How dare you call me stupid!, you stupid me stupid call how
You should help your father., you your your father help
I've never committed a crime., i crime commit no
Does this medicine work quickly?, this medicine this quickly work quickly
I share a room with my brother., i my room with my brother share
I'm sure it's just a misunderstanding., i sure it 's just misunderstand
Atlantis is real., atlantis real
I really liked that., i really that like
Please don't die., die no
He asked for a pay raise., he pay raise ask for
You need to press the button., you button need press
I can't find my bag., i my my bag find no
I call on him every other day., i other him every other day call on
Why do you want stamps?, you stamp want why
I can't stand him., i him stand no
Tom has a girlfriend., tom girlfriend have
Put everything in my basket., my everything my basket put
I can't tell you what to do., i you tell do what no
She trusts him., she him trust
We talk about it all the time., we it all time talk about
Hang on a second., second hang on
Don't complicate your life., your your life complicate no
Tom is violent and dangerous., tom violent and dangerous
Look at this mess., this mess look at
That's all I said., that i all say say
No one cares., no one no care
He pretends to be deaf., he deaf pretend
"Hurry, or you'll miss the train.", you train hurry miss
Tom would never leave Mary., tom mary leave no
I'll do it by all means., i it all mean do
I feel nauseous., i nauseous feel
Tom has written three books., tom three book write
He is afraid that he will die., he afraid he die die
You're much taller than Tom is., you much tall tom much
Tom didn't want to be late., tom late want no
We were beaten., we beat
Don't worry about that., that worry about no
What have you done with my bag?, you my my bag do with what
I live in the city., i city live in
Please throw this away., this away throw
I should've seen this coming., i this come see come
I don't know who made the cake., i cake know make who no
What sports do you like?, you what sport like
She's a violinist of some renown., she violinist of some renown
No one else knows it., no one else no else it know
That man is unworthy of you., that man unworthy of that you
I can't believe you., i you believe no
She locked the door., she door lock
We're quite drunk., we quite drunk quite
I have one question., i one question have
Do you want us to call you?, you us you want call
Don't run so fast., so fast run so no
Nobody forced you to help me., nobody you me force help
Has anyone spoken to Tom?, anyone tom speak to
They are bored., they bore
This rug has a nice pattern., this rug nice this nice pattern have
Let's take advantage of the long weekend., 's long advantage long weekend let take
I hope I'm not too late., i i too late too hope no
I just followed the recipe., i just recipe follow
We're trying to find an antidote., we antidote try find
"Where do you want to go, sir?", you sir want go where
Tom knows that I lied to him., tom i him know lie to
It's settled then., it then settle then
I'd like to know what it is., i it like know what
That's actually very common., that very common actually very
Have you ever been kissed before?, you ever before kiss before
I'm not supposed to help you., i you suppose help no
Why's everyone looking at me?, everyone me look at why
He worked from nine to five., he nine five work from
I'll go out after having dinner., i out dinner go out have
He won't live much longer., he much longer live much no
Are you guys stupid or something?, guy stupid or something you guy
You're one of my best friends., you my best one of my best friend
Empty the water out of the bucket., water bucket empty
He is no stranger to me., he no stranger to me
Everybody was out of town., everybody town
"You enjoy that, don't you?", you you that enjoy do no
I told Tom not to use those., i tom those tell use no
I need another one., i another one need
Turn down the radio., radio turn down
You don't seem too surprised., you surprised too surprised seem too no
This is my daughter., this my my daughter
"Men make houses, women make homes.", men woman house home make make
"I tried to call you, but couldn't.", i you try call no
I get along well with my neighbors., i my well my neighbor get along
The guard is dead., guard dead
I'm studying electrical engineering., i electrical electrical engineer study
It's been nice meeting you., it nice nice meet you meet
He carved me a wooden doll., he wooden me wooden doll carve
Do you like writing?, you like write
He is hated by everyone., he by everyone everyone hat by
Take things as they are., they thing take
Can you stay?, you stay
I've always wanted to try it., i always it want try
"Your name is Tom, isn't it?", your name it tom no
We must have something to live for., we something live have live for
How could that happen?, that happen how
She looks lonesome., she lonesome look
I was chilled to the bone., i bone chill to
You got it all wrong., you wrong it all get
Tom didn't see that one coming., tom one see come no
Tom didn't have to say anything else., tom anything else have say no
We started to walk., we start walk
We ran around the park., we park run around
Why are you afraid of me?, you afraid of me why
Who do you want to talk to?, you want talk to who
I'll do my best., i my best my best do
I'm not sure anymore., i sure anymore no
Tom saw Mary crying., tom mary saw cry
You're hurting me., you me hurt
You were Tom's only friend., you tom 's only tom only friend
That company's stock price fell yesterday., that company 's stock price that yesterday fell
I owe you a breakfast., i you breakfast owe
Maybe that's the reason., that maybe reason
Comb your hair before you go out., your you your hair comb go out
Tom went to the laundromat., tom laundromat go to
You're out of time., you time
Tom is a convicted felon., tom convict felon convict
I could see something was wrong., i something wrong see
You don't even know who they are., you they even know who no
Why do people commit suicide?, people suicide commit why
Don't distract me while I am studying., i me distract study no
What's your favorite pastime?, your favorite pastime what
Why do you always do this?, you always this do why
Tom is a black belt in karate., tom black black belt in karate
Tom paused uncomfortably., tom uncomfortably pause uncomfortably
Tom greeted me politely., tom me politely greet
Pandas are beautiful animals., pandas beautiful beautiful animal
Tom is a high school principal., tom high high school principal
She would often come late for school., she often late school come late
I know Tom was shaken., i tom know shake
I'm really fed up with this heat., i really this heat feed up
"We're on the same team, right?", we same right same team
They're just doing their job., they their just their job do
It seemed appropriate., it appropriate appropriate seem
Can we do it?, we it do
Do you really want to help?, you really want help
I've seen this before., i this before see
Tom was obviously homesick., tom homesick obviously
You stay here., you here stay here
His girlfriend did it for him., his girlfriend it for him do
I can't get rid of this cold., i rid of this cold get rid of no
I'll call the cops., i cop call
I didn't want to disappoint my parents., i my my parent want disappoint no
The source of the fire is unknown., source of unknown fire
I want to make her happy., i her happy want make
I don't like any of these hats., i any of these hat like no
Whose side are you on?, side you whose
It may freeze next week., it next next week freeze
I always counted you as a friend., i always you friend count
Apparently I'm adopted., i apparently adopt
Don't be so negative., so negative so no
We want a rematch., we rematch want
There is always something happening here., there always something happen here always happen here
I forget your phone number., i your your phone number forget
I want you to dig a hole., i you hole want dig
What keeps you awake at night?, awake you awake night keep what
"Could you stop, please?", you stop
This is not happening., this happen no
Tom doesn't want any part of this., tom any part of this want no
I knew that Tom was a bum., i tom bum know
He's a lovely young man., he lovely young lovely young man
Can anyone believe you?, anyone you believe
Here's one for you., one for here you
Are you waiting for Tom?, you tom wait for
They have lost a lot., they lot lose
Did I give it to you?, i it to you give
Are you serious?, you serious
Why didn't you come to the party?, you party come to why no
Let's sit down somewhere., 's somewhere let sit down
I'll go ask Tom., i tom go ask
I kept an eye on her suitcase., i her eye her suitcase keep
Does she know you?, she you know
All beginnings are difficult., all beginning difficult all
I had a light lunch., i light light lunch have
I'll be back in a few days., i few back in few day
Come and see me., me come see
I ate a slice of watermelon., i slice of weatrmelon eat
Tom held Mary in his arms., tom his mary his arm hold
There will be no ambiguity., there no ambiguity
You're very helpful., you very helpful very
It began to snow., it begin snow
Don't speak French., french speak no
I'll take care of those., i care those take
Maybe what you said is true., you say true maybe say what
I believe that you should leave., i you believe leave
We're still not sure., we sure still no
I lost my camera., i my my camera lose
What time did you arrive there?, you what time there arrive there
Tell me where she lives., she me where tell live
I am reading a book., i book read
Wash your hands first., your your hand first wash
He remembers writing to her every week., he her every week remember write to
He made a lot of money., he lot of money make
I'll see you tomorrow at school., i you tomorrow school see
We're doing things we've never done before., we we thing do before do do before no
The bill passed at the last moment., bill last last moment pass at
You'll wish you had studied harder., you you harder wish study harder
Time waits for no one., time no one wait for
I think I know what this is., i i this think know what
Do you know who invented this machine?, you this machine know invent who
I tried to fulfill my duty., i my my duty try fulfill
It's starting to grow on us., it us start grow on
I felt wonderful., i wonderful felt
I guess I was mistaken., i i mistake guess
What's that stain?, that stain that what
I never bet., i bet no
Please give me a hamburger., me hamburger give
The woman is reading., woman read
My college has a dorm., my college dorm have
I can't compete., i compete no
Why take that risk?, that risk take why
That's all I knew., that i all know know
I've enjoyed reading this novel., i this novel enjoy read
This is my father's., this my my father 's
It's the big one., it big big one
Tom wants his daughter to get married., tom his daughter want marry
Tom has actually never been to Boston., tom actually boston no
Girls say that all the time., girls that all time say
Call her tomorrow., her tomorrow call
Is this legal?, this legal
Mind your own business!, your own your own business mind
I'm afraid of the dark., i afraid of dark
Did you have a good time yesterday?, you good good time yesterday have
She introduced her sister to him., she her her sister him introduce
That's why I'm here., that i here why
You've often said so yourself., you often so yourself say so
My hair is too long., my hair too long too
She is first in line., she first line
Maybe I should go., i maybe go
You can trust all of us., you all of us trust
They're mad at you., they mad at you
What do you think of this book?, you this book think of what
Is this the train for New York?, this train for new york
Did you have a nice Christmas?, you nice nice christmas have
You never told me about this before., you me this before tell no
Tom broke up with me., tom me break up
Get out of my apartment., my my apartment get out
They greeted each other warmly., they other each other warmly greet
I think that I'm just exhausted., i i just exhaust just think
I'll stick around., i stick around
I want to be left alone., i alone want leave alone
Do you come here every day?, you here every day come here
A young man barged in unexpectedly., young man unexpectedly barge in
Do you honestly believe that?, you honestly that believe
Tom was kissed by Mary., tom by mary mary kiss by
Why didn't you tell me?, you me tell why no
Are you very hungry?, you very hungry very
I need a pencil sharpener., i pencil sharpener need
I made a deal., i deal make
I didn't graduate., i graduate no
Please take the pants in a bit., pant bit take
I found the earring that you lost., i you earring that lose find lose
I've done that already., i that already do
Tom sat right in front of me., tom right front of me sit right
What actually happened?, actually happen what
Hang on tight!, tight hang on
Correct the errors if there are any., there any error correct
Did you just call me a monkey?, you just me monkey call
It's fine today., it fine today
Your pen is better than mine., your pen well than mine
"When you're right, you're right.", you right you right when
What's your problem with Tom?, your problem with tom what
She asked him to sit down., she him ask sit down
You and I are soulmates., you and i soulmates
I didn't even think that was possible., i that possible even think no
I hid it under the mattress., i it mattress hide
They didn't find the bomb., they bomb find no
You should go and help Tom., you tom go help
Your face is always dirty., your face dirty always
You're working hard., you hard work hard
I love your outfit., i your your outfit love
Will you lend me your bicycle?, you your me your bicycle lend
Thank you very much for your generosity., your you very much your generosity thank
The problem was difficult to solve., problem difficult solve solve
Just act as if nothing has happened., nothing just act happen
Have you finished?, you finish
Do you want to stop?, you want stop
Get ready for some action., ready for some action get
Stop showing off!, stop show off
I love you., i you love
This animal is very clever., this animal very clever this very
You can eat whatever you like., you you whatever eat like
Taxis are expensive., taxis expensive
She gave me a book for Christmas., she me book for christmas give
He looks old for his age., he old his his age look
Tom changed his diet., tom his his diet change
I don't know what you're waiting for., i you know wait for what no
How did it all work out?, it all work out how
Are you honest?, you honest
Stop staring at me like that., me that stop star at
I want you to be my partner., i you my my partner want
What a wonderful gift!, wonderful what
Keep the window closed., window keep close
Don't order anything for me., anything me order no
I'm majoring in sociology., i sociology major in
That isn't big enough., that big enough enough no
This may help you., this you help
He's a food critic., he food critic
I was lucky., i lucky
This is justified., this justified justified
The whole world is watching., whole world watch
He doesn't like oranges., he orange like no
Their concert was a big hit., their concert big big hit
Why did you quit?, you quit why
I don't believe that anymore., i that anymore believe no
I always wanted a tree house., i always tree house want
Where is it hidden?, it hide where
I know you think I'm stupid., i you i stupid know think
I'm going to fly to Australia., i australia go fly to
He made a wisecrack., he wisecrack make
That's a beautiful piece of meat., that beautiful beautiful piece of meat
I was as surprised as you., i as surprised as as you
Please take one., one take
I suggested that we go fishing., i we suggest go fish
That doesn't make much sense., that much much sense make no
That happens to us a lot., that us lot happen to
I'm no friend of yours., i no friend of yours
It's backwards compatible., it compatible backwards
Look at the dog jump., dog jump look at
Everyone rushed outside., everyone outside rush outside
No credit cards are accepted., no credit card no accept
I'm making a lot more money now., i more lot more money now make
I'm in my hotel room., i my my hotel room
Don't you think it's risky?, you it risky think no
Tom was disappointed in Mary's performance., tom mary 's mary performance disappoint in
He will run for mayor., he mayor run for
How did your dog get in here?, your dog here get in how
It's all our fault., it our all our fault
Old people need someone to talk to., old people someone talk need talk to
Who is that old woman?, old that old woman who
I made Tom laugh., i tom make laugh
I'm not surprised you don't remember., i surprise you remember remember no
I followed the recipe., i recipe follow
How often do you shave?, you often shave how
I want this guitar., i this guitar want
Can you give me another pillow?, you me another pillow give
I'd like you to meet him., i you him like meet
Is college worth it?, college worth it it
I'm not convinced., i not convince no
I don't want to live alone., i alone want live alone no
Don't say another word., another word say no
We need to do this right., we this right need do
I'm not ready to do that., i ready do that do no
You need to be more careful., you more careful more need
"You're hiding something, aren't you?", you you something hide no
I admire your determination., i your your determination admire
Turn the page., page turn
Don't ask me again., me again ask no
"I'm sorry, but you're wrong.", i sorry you wrong
I'm considered a traitor to this country., i traitor to this country consider
I have to go home now., i home now have go home
I'm sorry. I have another appointment., i sorry i another appointment have
That was no ordinary storm., that ordinary no ordinary storm
I remember when I first saw you., i i first you remember saw when
You don't have to trouble yourselves., you yourselves have trouble no
Tom isn't crying., tom cry no
Are you with us?, you us
This question is not easy., this question easy this no
Could you make a reservation for me?, you reservation for me make
What made you change your mind?, you your your mind make change what
Tom probably won't win., tom probably win no
Are you going by bus or car?, you bus or car go by
Tom bought me everything I wanted., tom i me everything want buy want
I don't want you to go back., i you back want go back no
He is sure to come., he sure come come
What time is dinner?, dinner what time
The appendix is about 10 cm long.,appendix cm long about 10 cm
Could I use your desk?, i your your desk use
She couldn't stop the tears., she tear stop no
That would've been entertaining., that entertain
He arrived after the bell rang., he bell arrive rang
You never cease to surprise me., you me cease surprise no
This can't be what it looks like., this it look like what no
I will return., i return
That's my sister's camera., that my sister 's sister camera
The danger is minimal., danger minimal
I've only seen him once., i only him once see
They look sad., they sad look
He is the chosen one., he choose one choose
This is not our problem., this our our problem no
The kids are disappointed., kid disappoint
I had expected him at the meeting., i him meet expect
Have a good time., good good time have
I have enough money to buy it., i enough enough money buy it have buy
I understand completely., i completely understand completely
I'll be sitting here while he's singing., i he here sit here sing
I think Tom is selfish., i tom selfish think
Would you just shut up?, you just shut up
I looked around me., i me look around
Would you like half a chicken?, you half chicken like
Please don't mumble., mumble no
You're sitting in my seat., you my my seat sit in
I know you can make it., i you it know make
My favourite game is football., my favourite game football
I switched on the TV., i tv switch on
"I am a student, but he isn't.", i he student no
Don't waste your breath on Tom., your your breath tom waste no
"I'm sorry, but you need to leave.", i sorry you need leave
"You're a bodybuilder, aren't you?", you you bodybuilder no
"Unfortunately, no one told us.", no one unfortunately no us tell
He lives far away from my house., he my far away from my house live far
That's how it began., that it begin how
Who's your favorite poet?, your favorite your favorite poet who
We're not killers., we killer no
I just haven't gotten to it yet., i just it yet get to no
Nobody is paying attention to Tom., nobody attention tom pay
Blood poured from the cut vein., blood cut vein pour from
This plant grew little by little., this plant little little this little little grow
She advised him to take the money., she him money advise take
We'll give you your revenge., we your you your revenge give
Do you like to travel?, you like travel
I couldn't make myself understood in English., i myself english make understood in no
My boss was very strict., my bos very strict very
I can't stand this hot weather., i hot this hot weather stand no
Tom was very reasonable., tom very reasonable very
The weather's nice today., weather 's nice today
"I'm sorry, I don't have change.", i sorry i change have no
We were shocked., we shock shock
Who are you talking with?, you talk with who
It will soon be September., it soon september
This is so exciting., this so excite so
We're smarter than that., we smart than that
There was no violence., there no violence be
I forgot my wallet., i my my wallet forget
I can squeeze you in., i you squeeze
Neither of these is mine., neither of these mine
How am I supposed to dress?, i suppose dress how
I'm sorry to always be bothering you., i sorry bother always you bother
Are you listening to me?, you me listen to
Why don't you like talking about politics?, you politics like talk about why no
The risk is too great., risk too great too
"If the alarm rings, walk, don't run."," alarm ring , walk run no"
Do you know where they come from?, you they know come from where
He works like a maniac., he maniac work like
Are you responsible for this mess?, you responsible for this mess
Ten is ten percent of one hundred., ten ten percent of one hundred
I thought about what you said yesterday., i you yesterday think about say what
It doesn't matter how small it is., it small it matter how no
How do they expect us to survive?, they us expect survive how
Lunch is included., lunch include
You've turned up at the right moment., you right right moment turn up
You have no choice., you no choice have
Stop screaming in my ears., my my ear stop scream in
I stepped backwards., i backwards step backwards
I'm afraid it's going to rain., i afraid it go go rain
I like to draw pictures., i picture like draw
I don't have any questions., i any question have no
I wonder if this water is drinkable., i this water drinkable this wonder
That's so depressing., that so depress so
I feel faint., i faint feel
Be nicer to your brother., nicer your your brother
It won't be easy to forget you., it easy forget you forget no
I don't like that., i that like no
We'll decide later., we later decide later
I know Tom is almost asleep., i tom almost asleep almost know
His ideas never earned him a dime., his idea him dime earn no
How are you holding up?, you hold up how
Is there another solution?, there another solution
Would you play with me?, you me play with
A child today would not do that., child today that do no
Drastic times call for drastic measures., drastic time drastic drastic measure call for
Do they have a computer?, they computer have
"Smile at the camera, please!", camera smile at
Are you going or staying?, you go stay
I think Tom is going to die., i tom think go die
Do you like this garden?, you this garden like
They deserve it., they it deserve
The TV was on all night., tv all night
She owns many valuable works., she many valuable many valuable work own
Where's the nearest supermarket?, near supermarket where
We need a victory., we victory need
He is in love with her., he love with her
I like stories., i story like
That company went bankrupt., that company bankrupt that go
Nobody can foresee what'll happen., nobody foresee happen what
Supper is served at nine-thirty., supper nine - thirty serve at
We've decided to do that., we that decide do
Why does that name sound familiar?, that name familiar that sound why
He is influential., he influential
I think that fact is very important., i that fact very important that very think
The lawyers argued the case for hours., lawyer case for hour argue
What's the matter with you?, matter with you what
I put my hand on his shoulder., i my his my hand his shoulder put
Tom is not a criminal., tom criminal no
Your behavior was inexcusable., your behavior inexcusable
Did you grow up in Boston?, you boston grow up
He grew up in a small town., he small small town grow up
That just happened., that just happen
I felt that something was amiss., i something amiss felt
I took part in the contest., i part contest take
Tom is outside watering the flowers., tom outside flower water
My father is in the garden now., my father garden now
You should have refused his offer., you his his offer refuse
I'm sure I've seen him before., i sure i see him before see
This river runs through my village., this river my this my village run through
"Feeling chilly, I turned on the heater.", chilly i heater feeling turn on
We're an hour behind., we hour behind
